id,severity,codex_status,first_file,verify_verdict,phase,title
F-C024,medium,confirmed,apps/fleet_sp_builder/lib/fleet/sp_builder/monk.ex:29,THEORIQUE,unassigned,"Monk registry resolution documents an in-root basename but accepts unconstrained relative paths while its tests are skipped"
F-C025,hygiene,confirmed,apps/fleet_sp_builder/lib/fleet/sp_builder/blocks.ex:27,THEORIQUE,unassigned,"`sp-map.yaml` entries are not validated as a closed block map before the generator reads/writes paths"
F-C026,hygiene,confirmed,apps/fleet_sp_builder/priv/sp_drafts/protocole-user-worker.md:4,DOCTRINE,FIXÉ,"The active worker protocol still labels itself as a POC draft and points to obsolete `agent-worker-base.md`"
F-C027,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/spawn/naming.ex:28,THEORIQUE,unassigned,"Initial project clone drops the dispatcher slug and always falls back to `feature/work`"
F-C028,high,confirmed,apps/fleet_project_bootstrap/lib/fleet/project_bootstrap/phase.ex:106,THEORIQUE,unassigned,"Project clone with `repo_path` can proceed without a pinned `base_sha`"
F-C029,medium,confirmed,apps/fleet_project_bootstrap/lib/fleet/project_bootstrap/phase.ex:96,THEORIQUE,unassigned,"`work_branch` reaches `git clone --branch` without the GitRef validation used for code branches"
F-C030,hygiene,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/completed_payload.ex:41,THEORIQUE,unassigned,"The residual `workflow_map_id` completion branch builds a payload that the current consumer explicitly skips"
F-C031,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/launch_spec.ex:216,THEORIQUE,unassigned,"Plugin-qualified skills are serialized into a whitespace protocol before plugin names are validated"
F-C032,hygiene,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/launch_spec.ex:165,THEORIQUE,unassigned,"LaunchSpec keeps schema-bypassed invalid modes launchable by falling back to safe defaults"
F-C033,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/scaffold.ex:94,DOCTRINE,D5-keep-doc,"Project pods can launch without `CLAUDE.md` in the workspace when the load-bearing copy fails"
F-C034,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/launch_env.ex:60,DOCTRINE,R08-défensif,"`:claude_dir` override bypasses the per-human credential resolution while the module claims per-human by construction"
F-C035,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/brief.ex:80,PERCE,FIXÉ,"Admin-spawn briefs are dropped when the broker cannot be probed, but the pod still launches"
F-C036,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/mcp_provision.ex:118,DOCTRINE,R08-défensif,"`mcp_server_spec` is only checked for nil/map and then used as an unvalidated config object"
F-C037,high,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/task_probe.ex:51,PERCE,FIXÉ,"A TaskQueue hiccup at `:result_deadline` can consume the response timeout without failing the pod"
F-C038,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/state_fs.ex:9,DOCTRINE,D2-keep-doc,"`state.json` write failure loses the durable recovery point but is always non-fatal"
F-C039,hygiene,confirmed,apps/fleet_spawner/lib/fleet/spawner/pod/paths.ex:87,THEORIQUE,unassigned,"Unknown or missing lifetime scopes are normalized into ordinary pod behavior in spawner helpers"
F-C040,hygiene,confirmed,apps/fleet_spawner/README.md:38,DOCTRINE,FIXÉ,"Spawner README advertises an LCARS env catalogue for knobs that runtime/template do not expose"
F-C041,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/launch_backend.ex:57,DOCTRINE,FIXÉ,"The launch backend runtime seam has no conformity guard before dynamic dispatch"
F-C042,high,confirmed,apps/fleet_spawner/lib/fleet/spawner.ex:242,DOCTRINE,D2-keep-doc,"Pod death paths return success even when the active TaskQueue mandate was not released"
F-C043,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/permanent_boot.ex:241,DOCTRINE,D5-fork,"Permanent base seed corruption falls back to fresh sessions instead of failing the permanent boot"
F-C044,medium,confirmed,apps/fleet_spawner/lib/fleet/spawner/publish_consumer.ex:13,PERCE,FIXÉ,"`admin.spawn.request` only emits `spawn.failed` for raised exceptions, not ordinary dispatch failures"
F-C045,hygiene,confirmed,apps/fleet_spawner/lib/fleet/spawner.ex:148,DOCTRINE,D5-keep-doc,"Seed-store recall conflates absent seeds with present corrupt seed metadata"
F-C046,medium,confirmed,apps/fleet_mcp/lib/fleet/mcp/pod_tools/work_items.ex:57,DOCTRINE,D1-doc-FIXÉ,"MCP `submit_result` presents broadcast failure as retryable even though a retry becomes a success-shaped double submit"
F-C047,high,confirmed,apps/fleet_mcp/lib/fleet/mcp/pod_tools.ex:157,PERCE,FIXÉ,"`get_issue_status` exposes `delivered: true` for any closed issue, not a proven merge delivery"
F-C048,hygiene,confirmed,apps/fleet_mcp/lib/fleet/mcp/supervisor.ex:80,DOCTRINE,D5-keep-doc,"MCP pod-facing readiness can report operational when the socket-file cross-check failed"
F-C049,hygiene,confirmed,apps/fleet_mcp/mix.exs:30,DOCTRINE,D4-hygiène-deferred,"`fleet_mcp` still declares a direct `fleet_event_router` application/dependency while the code says it is vestigial"
F-C050,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_run_consumer.ex:177,PERCE,FIXÉ,"A project-pipe `:completed` work item can mask an orphaned issue lock after lost/offloaded completion"
F-C051,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_run_consumer.ex:703,DOCTRINE,D1-doc-FIXÉ,"Cat-5 `workflow_map.failed` and `audit.verdict` producers are draft best-effort signals without a settled reliability policy"
F-C052,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_run_consumer.ex:195,DOCTRINE,D4-fork,"Step-run repo/remote has a legacy config fallback despite the event being the stated source of truth"
F-C053,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_run_consumer.ex:590,DOCTRINE,D4-fork,"Unloadable cap-profile roles are classified as payload judges by default"
F-C054,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/issue_id.ex:12,THEORIQUE,unassigned,"`IssueId.compose/1` accepts non-integer issue identifiers despite being the writer-side authority"
F-C055,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/pod_id.ex:3,THEORIQUE,unassigned,"`PodId` repo scoping is lossy and can collide for distinct forge repositories"
F-C056,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/roles.ex:12,DOCTRINE,R08-défensif,"Runtime role accessors return unvalidated override/config strings as canonical roles and pod ids"
F-C057,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_run_completer.ex:319,THEORIQUE,unassigned,"`StepRunCompleter` falls back to `'engineer'` when producer identity cannot be parsed"
F-C058,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/labels.ex:2,DOCTRINE,D1-best-effort-OK,"Producer `stage/review` transition failure is swallowed even though labels are the forge state machine"
F-C059,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/spawn.ex:312,PERCE,FIXÉ,"Pipe pod state probe failure is conflated with 'dead' and can authorize a fresh spawn/reset"
F-C060,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/review_lifecycle.ex:203,THEORIQUE,unassigned,"Poller-driven PR promotion reports merge success even if issue unlock fails"
F-C061,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/review_lifecycle.ex:138,DOCTRINE,FIXÉ,"Unknown PR reviewer roles are skipped as normal dispatch outcomes"
F-C062,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/arch_escalation.ex:60,THEORIQUE,unassigned,"Arch escalation returns `{:skipped, _escalated}` even when the throttle label was not written"
F-C063,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher.ex:420,DOCTRINE,D4-keep-doc,"Routeless issue onboarding uses a hidden `brief-gate` default workflow map"
F-C064,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/step_dispatcher/spawn/naming.ex:56,DOCTRINE,D4-fork,"Forge repo ids are truncated to four decimal digits before session identity"
F-C065,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_protocol.ex:29,THEORIQUE,unassigned,"`ForgeProtocol.feature_branch/2` can build refs its own parser rejects"
F-C066,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/gatekeeper_seal.ex:92,PERCE,FIXÉ,"Gatekeeper seal returns success after a failed explicit issue close"
F-C067,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/gatekeeper_seal.ex:29,PERCE-doc,FIXÉ,"`GatekeeperSeal.as_gatekeeper/1` docs still describe system-token fallback"
F-C068,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_client.ex:651,THEORIQUE,unassigned,"Half-written workflow route labels are read as ordinary `:none`"
F-C069,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_client/jury.ex:75,PERCE,FIXÉ,"PR review reads convert unexpected 2xx shapes into empty jury/feedback/budget facts"
F-C070,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_client/repo.ex:184,PERCE-doc,FIXÉ,"Repo id docs/tests still describe a random UUID fallback that current spawn identity no longer uses"
F-C071,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_client.ex:29,PERCE-doc,FIXÉ,"`ForgeClient` module docs still describe removed GET+PUT label mutation"
F-C072,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/forge_client.ex:96,PERCE-doc,FIXÉ,"`list_open_issues_without_label/3` docs still claim single-page issue reads"
F-C073,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_registry.ex:55,THEORIQUE,unassigned,"IncidentRegistry reports `:recorded` even when the local WAL write failed"
F-C074,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_registry.ex:13,THEORIQUE,unassigned,"IncidentRegistry turns forge registry read/decode failures into an empty backing store"
F-C075,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_registry/escalation.ex:13,PERCE,FIXÉ,"Sysadmin escalation reports `{:escalated, issue}` after the durable discovery label fails"
F-C076,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_registry/escalation.ex:13,DOCTRINE,D1-keep-doc,"Sysadmin issue creation drops the assignee after any first create error"
F-C077,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_consumer.ex:92,THEORIQUE,unassigned,"IncidentConsumer silently ignores malformed failure events"
F-C078,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/incident_registry/escalation.ex:24,THEORIQUE,unassigned,"Escalation kind is specified as any atom but only four atoms are implemented"
F-C079,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/wake_recovery.ex:6,THEORIQUE,unassigned,"WakeRecovery returns `:ok` after re-wake recovery even when the incident anchor was not recorded"
F-C080,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/wake_recovery.ex:8,DOCTRINE,D5-keep-doc,"WakeRecovery ignores the re-spawn result before re-waking"
F-C081,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/worktree_sync.ex:46,DOCTRINE,D5-keep-doc,"WorktreeSync derives the local clone path from an unparsed repo string"
F-C082,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/write_spacing.ex:14,DOCTRINE,R08-défensif,"Invalid forge write spacing config disables the spacing silently"
F-C083,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/brief_builder.ex:22,PERCE,FIXÉ,"BriefBuilder turns forge read failures into empty or generic brief inputs"
F-C084,high,confirmed,apps/fleet_pilot/lib/fleet/pilot/project_onboard.ex:13,PERCE,FIXÉ,"ProjectOnboard treats repo-already-exists as success before proving the repo is safe to mutate"
F-C085,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/project_onboard.ex:101,THEORIQUE,unassigned,"ProjectOnboard.import derives local clone identity from a malformed-accepting `full_name`"
F-C086,medium,confirmed,apps/fleet_pilot/lib/fleet/pilot/project_onboard/scaffold.ex:23,PERCE,FIXÉ,"Scaffold mkdir failures escape the typed scaffold error contract"
F-C087,low,confirmed,apps/fleet_pilot/lib/fleet/pilot/project_onboard/scaffold.ex:84,PERCE-doc,FIXÉ,"Generated project scaffold hard-codes old dates"
F-C088,low,confirmed,apps/fleet_pilot/test/fleet/pilot/chain_integration_test.exs:72,PERCE-doc,FIXÉ,"Chain integration comments still describe route comments after route moved to labels"
F-C089,medium,confirmed,apps/fleet_event_router/lib/fleet/event_router/bus.ex:41,DOCTRINE,D1-downgrade,"Empty event registry still defaults to fail-open and the tests lock that implicit default"
F-C090,low,confirmed,apps/fleet_event_router/test/test_helper.exs:1,PERCE-doc,FIXÉ,"Event-router test helper says R1 seam exclusion was removed while still excluding it"
F-C091,high,confirmed,apps/fleet_coord/lib/fleet/coord/emitter.ex:15,DOCTRINE,D1-best-effort-OK,"Coord policy success is decoupled from delivery of human/escalation events"
F-C092,medium,confirmed,apps/fleet_coord/lib/fleet/coord/emitter.ex:40,THEORIQUE,unassigned,"Coord event payloads preserve atom-key maps while tests accept either atom or string keys"
F-C093,high,confirmed,apps/fleet_starfleet/lib/fleet/starfleet.ex:24,DOCTRINE,D1-best-effort-OK,"Starfleet coord backend default turns missing wiring into successful no-op"
F-C094,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/cat5_escalator.ex:61,THEORIQUE,unassigned,"Unknown Cat-5 source is logged but still represented as a successful escalation call"
F-C095,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/drift_monitor.ex:73,DOCTRINE,D1-downgrade,"Starfleet Cat-5 payloads are not constructed per source before triggering or no-oping"
F-C096,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/decision.ex:5,THEORIQUE,unassigned,"Starfleet Decision documents a closed verdict enum but exposes an unconstrained struct"
F-C097,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/application.ex:25,PERCE,FIXÉ,"Starfleet boot child knobs accept arbitrary config values as runtime policy"
F-C098,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/audit_log.ex:11,PERCE,FIXÉ,"AuditLog.write/1 can raise before returning its documented fail-safe error"
F-C099,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/audit_log.ex:19,DOCTRINE,R08-défensif,"Invalid Starfleet audit rotation threshold disables or distorts rotation silently"
F-C100,low,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/audit_consumer.ex:46,THEORIQUE,unassigned,"AuditConsumer counts unknown task_queue events as audited"
F-C101,low,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/audit_consumer.ex:107,DOCTRINE,D1-best-effort-OK,"AuditConsumer audit-grade logs replace missing lifecycle fields with placeholder strings"
F-C102,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/boot_orchestrator.ex:14,DOCTRINE,D1-doc-FIXÉ,"BootOrchestrator reports :ok while boot outcome exists only as a best-effort event"
F-C103,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/mcp_monitor.ex:16,DOCTRINE,D1-best-effort-OK,"MCPMonitor suppresses recurrent crashed alerts after a best-effort transition event"
F-C104,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/mcp_monitor.ex:39,DOCTRINE,R08-défensif,"Starfleet periodic monitor config remains raw and can crash or drift by type"
F-C105,high,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/shutdown.ex:10,DOCTRINE,D1-downgrade,"Shutdown default NoOpDispatcher makes missing drain wiring look successful"
F-C106,high,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/shutdown.ex:262,THEORIQUE,unassigned,"Shutdown drain timeout is returned to callers as :ok"
F-C107,medium,confirmed,apps/fleet_starfleet/lib/fleet/starfleet/shutdown.ex:245,THEORIQUE,unassigned,"Shutdown public inputs remain raw terms at the drain boundary"
F-C108,low,confirmed,apps/fleet_workflow/lib/fleet/workflow/application.ex:12,DOCTRINE,D6-FIXÉ,"Workflow app pre-registers workflow_map events with contradictory live/dead status"
F-C109,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/loader.ex:89,DOCTRINE,D6-doc-FIXÉ,"Workflow map metadata is accepted by schema and canon but discarded by Loader normalization"
F-C110,high,confirmed,apps/fleet_workflow/priv/schema/workflow-map-v2.5.json:79,PERCE,FIXÉ,"Workflow gate escalation knobs are accepted and canonical but ignored by Gates"
F-C111,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/gatekeeper.ex:3,DOCTRINE,D6-FIXÉ,"Workflow Gatekeeper lifecycle docs contradict the registered singleton shape"
F-C112,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/gatekeeper.ex:51,DOCTRINE,D6-cohérent-blanchi,"Gatekeeper registered pod id is treated as sufficient even when liveness is explicitly unknown"
F-C113,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/gatekeeper.ex:89,THEORIQUE,unassigned,"Gatekeeper reboot ignores holder-kill failure before re-registering"
F-C114,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/deliverable.ex:91,THEORIQUE,unassigned,"Deliverable/Git publication options are not fully typed at the boundary"
F-C115,high,confirmed,apps/fleet_workflow/lib/fleet/workflow/git.ex:13,THEORIQUE,unassigned,"Git force-push retry is not constrained to a system-owned branch value"
F-C116,high,confirmed,apps/fleet_workflow/lib/fleet/workflow/deliverable.ex:47,THEORIQUE,unassigned,"git_native deliverables do not require the role coauthor trailer"
F-C117,medium,confirmed,apps/fleet_workflow/lib/fleet/workflow/git.ex:369,DOCTRINE,R08-défensif,"Workflow git timeout config is raw and can disable the intended bound"
F-C118,medium,confirmed,apps/fleet_api/lib/fleet/api.ex:10,DOCTRINE,FIXÉ,"fleet_api state-read endpoints return successful empty snapshots"
F-C119,medium,confirmed,apps/fleet_api/lib/fleet/api/spawn_admission.ex:60,PERCE,FIXÉ,"admin.spawn issue_id is admitted as any JSON value then stringified downstream"
F-C120,low,confirmed,apps/fleet_api/lib/fleet/api/build_info.ex:99,DOCTRINE,D2-downgrade,"BuildInfo release parsing turns malformed embedded facts into release-sourced defaults"
F-C121,low,confirmed,apps/fleet_api/lib/fleet/api/ws.ex:75,DOCTRINE,D7,"fleet_api WS seam test still describes a red legacy tuple path while excluded by default"
F-C122,low,confirmed,apps/fleet_api/lib/fleet/api/application.ex:35,DOCTRINE,D7,"API sd_notify treats abstract NOTIFY_SOCKET as successful no-op"
F-C123,low,confirmed,apps/fleet_observation/lib/fleet/observation/application.ex:7,DOCTRINE,D7,"Observation application docs still describe removed API/Python surfaces"
F-C124,medium,confirmed,apps/fleet_observation/lib/fleet/observation/read_model.ex:31,DOCTRINE,FIXÉ,"Observation projection returns empty success when the read-model is down or deaf"
F-C125,low,confirmed,apps/fleet_observation/lib/fleet/observation/deck.ex:53,DOCTRINE,FIXÉ,"Observation role table turns cap-profile catalogue failures into a successful empty table"
F-C126,low,confirmed,apps/fleet_observation/lib/fleet/observation/deck.ex:143,DOCTRINE,D2-keep-doc,"Observation Memory-X role exclusion is a hard-coded name prefix policy"
F-C127,low,confirmed,.credo.exs:145,DOCTRINE,D7-Credo,"Credo disables several high-signal warning checks without a replacement gate"
F-C128,low,confirmed,.dialyzer_ignore.exs:1,PERCE-doc,FIXÉ,"Dialyzer ignore policy says no project source, but suppresses a spawner source warning"
F-C129,low,confirmed,mix.exs:61,DOCTRINE,D7-Dialyzer,"Sobelow is declared as audit tooling but is not part of the gate alias"
F-C130,medium,confirmed,mix.exs:160,DEJA-FIXE,unassigned,"Release application-order comments contradict the spawner/event-router dependency shape"
F-C131,low,confirmed,README.md:11,PERCE-doc,FIXÉ,"Root README reports 15 OTP apps while runtime has 14"
F-C132,medium,confirmed,etc/README.md:48,PERCE-doc,FIXÉ-doc,"etc README and sandbox no-trace test still carry the obsolete full-/etc exposure model"
F-C133,medium,confirmed,priv/canon/README.md:7,DOCTRINE,D3-doc,"Runtime priv/canon README still describes unimplemented v1.5-era Memory-X loading"
F-C134,low,confirmed,apps/fleet_workflow/README.md:24,PERCE-doc,FIXÉ,"fleet_workflow README points to a non-existent GitRef module namespace"
F-C135,medium,confirmed,bin/bwrap_launch.sh:65,DOCTRINE,D2-keep-doc,"bwrap launcher still makes a dormant git mirror mandatory"
F-C136,high,confirmed,bin/claude_launch.sh:265,DOCTRINE,D2-downgrade,"claude launcher starts without the MCP config it calls an iron law"
F-C137,medium,confirmed,bin/host_launch.sh:33,PERCE-doc,FIXÉ-doc,"host launch documentation and integration test still assert the removed inline-SP command shape"
F-C138,high,confirmed,bin/fleet_mcp_stdio_bridge.py:31,DOCTRINE,FIXÉ-structurel,"Python MCP bridge owns a second hand-written tool catalogue beside the Elixir authority"
F-C139,medium,confirmed,test/fixtures/mcp_submit_server.py:6,DOCTRINE,D3-deadgate,"Legacy MCP fixture and inc4 gate still use the removed get_task/no-work_item_id protocol"
F-C140,medium,confirmed,test/gate-r-core-comm-inc3b1.sh:6,DOCTRINE,D3-deadgate,"R-CORE.comm shell gate inventory contains non-runnable and superseded gates"
F-C141,medium,confirmed,apps/fleet_cap_profile/priv/schema/cap-profile-v2.5.json:54,PERCE,FIXÉ,"cap-profile schema does not require the allowedTools field that claude_launch hard-requires"
F-C142,medium,confirmed,apps/fleet_mcp/lib/fleet/mcp/pod_tools.ex:129,DOCTRINE,FIXÉ,"import_project exists in the central MCP authority but is not exposed by the active architect profile"
F-C143,medium,confirmed,apps/fleet_cap_profile/priv/schema/cap-profile-v2.5.json:164,DOCTRINE,D4-keep-doc,"deliverable_mode remains an implicit payload default instead of a required catalogue property"
F-C144,low,confirmed,apps/fleet_cap_profile/priv/canon/cap-profiles/modop/noop/profile.yaml:1,DOCTRINE,D3-archivable,"noop modop exists in two canon locations with different ownership stories"
F-C145,low,confirmed,apps/fleet_cap_profile/priv/canon/cap-profiles/modop/archive-mode/profile.yaml:1,DOCTRINE,D3-archivable,"active modop overlay profiles are empty stubs while behavior lives in separate prompt bundles"
F-C146,high,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/archive-mode/sp.md:5,DOCTRINE,D3-archivable,"active modop prompt bundles are not wired into the production spawn composition path"
F-C147,medium,confirmed,apps/fleet_workflow/priv/canon/subagent-templates/subagent-code-quality-reviewer.md:5,DOCTRINE,D3-archivable,"subagent-template canon is active data but no production composer consumes it"
F-C148,low,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/brainstorming/sp.md:10,PERCE-doc,FIXÉ,"brainstorming prompt has a hard no-exception gate and a skip rule for trivial tasks"
F-C149,medium,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/fire-mode/sp.md:10,THEORIQUE,unassigned,"engineer declares fire-mode while its active invocation is pipe/text"
F-C150,medium,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/fire-mode/sp.md:12,THEORIQUE,unassigned,"consultant combines fire-mode and archive-mode despite opposite lifetime/communication semantics"
F-C151,medium,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/dual-review/sp.md:12,PERCE-doc,DECISION-doc,"dual-review templates describe obsolete judge responsibilities compared with generated active role prompts"
F-C152,medium,confirmed,apps/fleet_workflow/priv/canon/modop-bundles/subagent-driven/sp.md:12,DOCTRINE,D3-archivable,"subagent-driven/implementer canon describes a removed dev subagent model"
F-C153,medium,confirmed,apps/fleet_cap_profile/priv/canon/_frozen-monks/_FROZEN-README.md:21,DOCTRINE,D3-archivable,"Memory-X reactivation path still targets the absent cap-profiles/monks tree"
F-C154,low,confirmed,apps/fleet_cap_profile/priv/canon/_frozen-monks/_FROZEN-README.md:1,THEORIQUE,unassigned,"frozen Memory-X files still self-identify as active bootable canon"
